,place_full_name,place_name,Tweet_string,created_at_date,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,,,ruokday thursday septemb retweet tweet remind day info ask ruok,2019-09-07,0,0,0,0,0,0,0,0,0,0
1,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
2,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
3,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
4,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
5,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
6,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
7,,,ruokday thursday septemb retweet tweet remind day info ask ruok,2019-09-07,0,0,0,0,0,0,0,0,0,0
8,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
9,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
10,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
11,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
12,,,ruokday thursday septemb retweet tweet remind day info ask ruok,2019-09-07,0,0,0,0,0,0,0,0,0,0
13,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
14,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
15,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
16,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
17,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
18,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
19,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
20,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
21,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
22,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
23,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
24,,,ruokday thursday septemb retweet tweet remind day info ask ruok,2019-09-07,0,0,0,0,0,0,0,0,0,0
25,,,trustthesign tour come cronulla tomorrow show everyon ask r u oknruokday ruxexxa,2019-09-07,0,1,0,0,0,0,0,0,0,1
26,"Cronulla, Sydney",Cronulla,trustthesign tour come cronulla tomorrow show everyon ask r u oknruokday ruok ,2019-09-07,0,1,0,0,0,0,0,0,0,1
27,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
28,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
29,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
30,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
31,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
32,,,ruokday thursday septemb retweet tweet remind day info ask ruok,2019-09-07,0,0,0,0,0,0,0,0,0,0
33,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
34,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
35,,,ruokday thursday septemb retweet tweet remind day info ask ruok,2019-09-07,0,0,0,0,0,0,0,0,0,0
36,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
37,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
38,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
39,,, twitter algorithm didnxexxt work hard figur stevo ruokday ,2019-09-07,0,0,0,0,0,0,0,0,0,0
40,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
41,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
42,,,ruokday thursday septemb retweet tweet remind day info ask ruok,2019-09-07,0,0,0,0,0,0,0,0,0,0
43,,,ruokday thursday septemb retweet tweet remind day info ask ruok,2019-09-07,0,0,0,0,0,0,0,0,0,0
44,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
45,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
46,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
47,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
48,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
49,,,ill talk quit bit ruokday sep use step open nonjudgement convers mate rememb alway ok ask ruok xfxfxaxxexdxxfxfxxcxexdxaxefxbxf ,2019-09-07,1,0,1,1,0,2,2,1,0,1
50,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
51,,,ruokday thursday septemb retweet tweet remind day info ask ruok,2019-09-07,0,0,0,0,0,0,0,0,0,0
52,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
53,,,ruokday thursday septemb retweet tweet remind day info ask ruok,2019-09-07,0,0,0,0,0,0,0,0,0,0
54,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
55,"Sydney, New South Wales",Sydney,ask question ruokday ruokday ,2019-09-07,0,0,0,0,0,0,1,0,0,0
56,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
57,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
58,,,ruokday thursday septemb retweet tweet remind day info ask ruok,2019-09-07,0,0,0,0,0,0,0,0,0,0
59,,,itxexx time talk ok start convers friend ruokday amp follow listen encourag action amp checkingin later resourc help ,2019-09-07,0,2,0,0,1,0,3,0,0,1
60,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
61,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
62,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
63,,,ruokday thursday septemb retweet tweet remind day info ask ruok,2019-09-07,0,0,0,0,0,0,0,0,0,0
64,,,ruokday thursday septemb retweet tweet remind day info ask ruok,2019-09-07,0,0,0,0,0,0,0,0,0,0
65,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
66,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
67,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
68,,,ruokday thursday septemb retweet tweet remind day info ask ruok,2019-09-07,0,0,0,0,0,0,0,0,0,0
69,,,ruokday thursday septemb retweet tweet remind day info ask ruok,2019-09-07,0,0,0,0,0,0,0,0,0,0
70,,,proud scotch strong cultur surround mental health import look ourselvesxexxa,2019-09-07,0,2,0,0,1,2,2,0,0,1
71,,,proud scotch strong cultur surround mental health import look emphasis boy effort remov stigma around vulner open ruokday ,2019-09-07,1,2,2,1,1,4,3,1,0,1
72,,,ruokday thursday septemb retweet tweet remind day info ask ruok,2019-09-07,0,0,0,0,0,0,0,0,0,0
73,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
74,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
75,,,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want waitxexxa,2019-09-07,0,0,1,0,0,0,1,0,0,2
76,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
77,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
78,,,ruokday thursday septemb retweet tweet remind day info ask ruok,2019-09-07,0,0,0,0,0,0,0,0,0,0
79,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
80,,,convers could chang life ruokday ,2019-09-07,0,0,0,0,0,0,0,0,0,0
81,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
82,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
83,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
84,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
85,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
86,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
87,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
88,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
89,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
90,,,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont wantxexxa,2019-09-07,0,0,1,0,0,0,1,0,0,2
91,,,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want toxexxa,2019-09-07,0,0,1,0,0,0,1,0,0,2
92,,,ruokday thursday septemb retweet tweet remind day info ask ruok,2019-09-07,0,0,0,0,0,0,0,0,0,0
93,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-07,0,0,0,0,0,0,1,0,0,0
94,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
95,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-07,0,0,0,0,0,0,1,0,0,0
96,,,mentalhealthnnthursday septemb ruokdaynnsuicid prevent fight mental health may appear hard buxexxa,2019-09-06,1,0,0,2,0,1,0,0,0,0
97,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-06,0,0,0,0,0,0,1,0,0,0
98,,,mentalhealthnnthursday septemb ruokdaynnsuicid prevent fight mental health may appear hard start convers stepsnn ruokn listenn encourag actionn check innntak action nownncredit nnmentalhealth,2019-09-06,1,1,0,2,0,1,1,0,0,0
99,,,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want toxexxa,2019-09-06,0,0,1,0,0,0,1,0,0,2
100,,,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want toxexxa,2019-09-06,0,0,1,0,0,0,1,0,0,2
101,,,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want toxexxa,2019-09-06,0,0,1,0,0,0,1,0,0,2
102,,,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want toxexxa,2019-09-06,0,0,1,0,0,0,1,0,0,2
103,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-06,0,0,0,0,0,0,1,0,0,0
104,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-06,0,0,0,0,0,0,1,0,0,0
105,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-06,0,0,0,0,0,0,1,0,0,0
106,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-06,0,0,0,0,0,0,1,0,0,0
107,,,ruokday thursday septemb retweet tweet remind day info ask ruok,2019-09-06,0,0,0,0,0,0,0,0,0,0
108,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-06,0,0,0,0,0,0,1,0,0,0
109,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-06,0,0,0,0,0,0,1,0,0,0
110,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-06,0,0,0,0,0,0,1,0,0,0
111,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-06,0,0,0,0,0,0,1,0,0,0
112,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-06,0,0,0,0,0,0,1,0,0,0
113,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-06,0,0,0,0,0,0,1,0,0,0
114,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-06,0,0,0,0,0,0,1,0,0,0
115,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-06,0,0,0,0,0,0,1,0,0,0
116,,,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want waitxexxa,2019-09-06,0,0,1,0,0,0,1,0,0,2
117,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-06,0,0,0,0,0,0,1,0,0,0
118,,,sometim good take quiet moment ask peopl care ruok answer maxexxa,2019-09-06,0,1,0,0,1,0,2,1,1,1
119,,,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want toxexxa,2019-09-06,0,0,1,0,0,0,1,0,0,2
120,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-06,0,0,0,0,0,0,1,0,0,0
121,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-06,0,0,0,0,0,0,1,0,0,0
122,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-06,0,0,0,0,0,0,1,0,0,0
123,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-06,0,0,0,0,0,0,1,0,0,0
124,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-06,0,0,0,0,0,0,1,0,0,0
125,,,ruokday thursday septemb retweet tweet remind day info ask ruok,2019-09-06,0,0,0,0,0,0,0,0,0,0
126,,,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want txexxa,2019-09-06,0,0,1,0,0,0,1,0,0,2
127,,,ruokday septemb retweet remind day info help learn sign ask ruok,2019-09-06,0,0,0,0,0,0,1,0,0,0
128,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-06,0,0,0,0,0,0,1,0,0,0
129,,,convers save life mani occass nsuicideawar nmentalhealthmatt nruokday ,2019-09-06,0,0,0,0,1,0,1,0,0,1
130,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-06,0,0,0,0,0,0,1,0,0,0
131,,,ruok event ararat next thursday ruokday ,2019-09-06,0,0,0,0,0,0,0,0,0,0
132,,,sometim good take quiet moment ask peopl care ruok answer maxexxa,2019-09-06,0,1,0,0,1,0,2,1,1,1
133,,,person that experienc extrem mental health problem whole life deepli hope awar get bigger everi year amp help peopl vulner dont support behind though tough time amp subject ruok ruokday ruokday love,2019-09-06,0,2,0,1,2,3,2,2,1,1
134,,,sometim good take quiet moment ask peopl care ruok answer maxexxa,2019-09-06,0,1,0,0,1,0,2,1,1,1
135,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-06,0,0,0,0,0,0,1,0,0,0
136,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-06,0,0,0,0,0,0,1,0,0,0
137,,,ruokday septemb tweet remind day info help learn sign ask,2019-09-06,0,0,0,0,0,0,1,0,0,0
