,text,UniqueID,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,ruokday thursday septemb retweet tweet remind day info ask ruok,0,0,0,0,0,0,0,0,0,0,0
1,ruokday septemb tweet remind day info help learn sign ask,1,0,0,0,0,0,0,1,0,0,0
2,ruokday septemb tweet remind day info help learn sign ask,2,0,0,0,0,0,0,1,0,0,0
3,ruokday septemb tweet remind day info help learn sign ask,3,0,0,0,0,0,0,1,0,0,0
4,ruokday septemb tweet remind day info help learn sign ask,4,0,0,0,0,0,0,1,0,0,0
5,ruokday septemb tweet remind day info help learn sign ask,5,0,0,0,0,0,0,1,0,0,0
6,ruokday septemb tweet remind day info help learn sign ask,6,0,0,0,0,0,0,1,0,0,0
7,ruokday thursday septemb retweet tweet remind day info ask ruok,7,0,0,0,0,0,0,0,0,0,0
8,ruokday septemb tweet remind day info help learn sign ask,8,0,0,0,0,0,0,1,0,0,0
9,ruokday septemb tweet remind day info help learn sign ask,9,0,0,0,0,0,0,1,0,0,0
10,ruokday septemb tweet remind day info help learn sign ask,10,0,0,0,0,0,0,1,0,0,0
11,ruokday septemb tweet remind day info help learn sign ask,11,0,0,0,0,0,0,1,0,0,0
12,ruokday thursday septemb retweet tweet remind day info ask ruok,12,0,0,0,0,0,0,0,0,0,0
13,ruokday septemb tweet remind day info help learn sign ask,13,0,0,0,0,0,0,1,0,0,0
14,ruokday septemb retweet remind day info help learn sign ask ruok,14,0,0,0,0,0,0,1,0,0,0
15,ruokday septemb retweet remind day info help learn sign ask ruok,15,0,0,0,0,0,0,1,0,0,0
16,ruokday septemb retweet remind day info help learn sign ask ruok,16,0,0,0,0,0,0,1,0,0,0
17,ruokday septemb tweet remind day info help learn sign ask,17,0,0,0,0,0,0,1,0,0,0
18,ruokday septemb tweet remind day info help learn sign ask,18,0,0,0,0,0,0,1,0,0,0
19,ruokday septemb tweet remind day info help learn sign ask,19,0,0,0,0,0,0,1,0,0,0
20,ruokday septemb tweet remind day info help learn sign ask,20,0,0,0,0,0,0,1,0,0,0
21,ruokday septemb tweet remind day info help learn sign ask,21,0,0,0,0,0,0,1,0,0,0
22,ruokday septemb retweet remind day info help learn sign ask ruok,22,0,0,0,0,0,0,1,0,0,0
23,ruokday septemb tweet remind day info help learn sign ask,23,0,0,0,0,0,0,1,0,0,0
24,ruokday thursday septemb retweet tweet remind day info ask ruok,24,0,0,0,0,0,0,0,0,0,0
25,trustthesign tour come cronulla tomorrow show everyon ask r u oknruokday ruxexxa,25,0,1,0,0,0,0,0,0,0,1
26,trustthesign tour come cronulla tomorrow show everyon ask r u oknruokday ruok ,26,0,1,0,0,0,0,0,0,0,1
27,ruokday septemb tweet remind day info help learn sign ask,27,0,0,0,0,0,0,1,0,0,0
28,ruokday septemb tweet remind day info help learn sign ask,28,0,0,0,0,0,0,1,0,0,0
29,ruokday septemb tweet remind day info help learn sign ask,29,0,0,0,0,0,0,1,0,0,0
30,ruokday septemb retweet remind day info help learn sign ask ruok,30,0,0,0,0,0,0,1,0,0,0
31,ruokday septemb tweet remind day info help learn sign ask,31,0,0,0,0,0,0,1,0,0,0
32,ruokday thursday septemb retweet tweet remind day info ask ruok,32,0,0,0,0,0,0,0,0,0,0
33,ruokday septemb tweet remind day info help learn sign ask,33,0,0,0,0,0,0,1,0,0,0
34,ruokday septemb retweet remind day info help learn sign ask ruok,34,0,0,0,0,0,0,1,0,0,0
35,ruokday thursday septemb retweet tweet remind day info ask ruok,35,0,0,0,0,0,0,0,0,0,0
36,ruokday septemb retweet remind day info help learn sign ask ruok,36,0,0,0,0,0,0,1,0,0,0
37,ruokday septemb retweet remind day info help learn sign ask ruok,37,0,0,0,0,0,0,1,0,0,0
38,ruokday septemb tweet remind day info help learn sign ask,38,0,0,0,0,0,0,1,0,0,0
39, twitter algorithm didnxexxt work hard figur stevo ruokday ,39,0,0,0,0,0,0,0,0,0,0
40,ruokday septemb retweet remind day info help learn sign ask ruok,40,0,0,0,0,0,0,1,0,0,0
41,ruokday septemb retweet remind day info help learn sign ask ruok,41,0,0,0,0,0,0,1,0,0,0
42,ruokday thursday septemb retweet tweet remind day info ask ruok,42,0,0,0,0,0,0,0,0,0,0
43,ruokday thursday septemb retweet tweet remind day info ask ruok,43,0,0,0,0,0,0,0,0,0,0
44,ruokday septemb tweet remind day info help learn sign ask,44,0,0,0,0,0,0,1,0,0,0
45,ruokday septemb retweet remind day info help learn sign ask ruok,45,0,0,0,0,0,0,1,0,0,0
46,ruokday septemb tweet remind day info help learn sign ask,46,0,0,0,0,0,0,1,0,0,0
47,ruokday septemb tweet remind day info help learn sign ask,47,0,0,0,0,0,0,1,0,0,0
48,ruokday septemb tweet remind day info help learn sign ask,48,0,0,0,0,0,0,1,0,0,0
49,ill talk quit bit ruokday sep use step open nonjudgement convers mate rememb alway ok ask ruok xfxfxaxxexdxxfxfxxcxexdxaxefxbxf ,49,1,0,1,1,0,2,2,1,0,1
50,ruokday septemb tweet remind day info help learn sign ask,50,0,0,0,0,0,0,1,0,0,0
51,ruokday thursday septemb retweet tweet remind day info ask ruok,51,0,0,0,0,0,0,0,0,0,0
52,ruokday septemb tweet remind day info help learn sign ask,52,0,0,0,0,0,0,1,0,0,0
53,ruokday thursday septemb retweet tweet remind day info ask ruok,53,0,0,0,0,0,0,0,0,0,0
54,ruokday septemb retweet remind day info help learn sign ask ruok,54,0,0,0,0,0,0,1,0,0,0
55,ask question ruokday ruokday ,55,0,0,0,0,0,0,1,0,0,0
56,ruokday septemb retweet remind day info help learn sign ask ruok,56,0,0,0,0,0,0,1,0,0,0
57,ruokday septemb tweet remind day info help learn sign ask,57,0,0,0,0,0,0,1,0,0,0
58,ruokday thursday septemb retweet tweet remind day info ask ruok,58,0,0,0,0,0,0,0,0,0,0
59,itxexx time talk ok start convers friend ruokday amp follow listen encourag action amp checkingin later resourc help ,59,0,2,0,0,1,0,3,0,0,1
60,ruokday septemb retweet remind day info help learn sign ask ruok,60,0,0,0,0,0,0,1,0,0,0
61,ruokday septemb retweet remind day info help learn sign ask ruok,61,0,0,0,0,0,0,1,0,0,0
62,ruokday septemb tweet remind day info help learn sign ask,62,0,0,0,0,0,0,1,0,0,0
63,ruokday thursday septemb retweet tweet remind day info ask ruok,63,0,0,0,0,0,0,0,0,0,0
64,ruokday thursday septemb retweet tweet remind day info ask ruok,64,0,0,0,0,0,0,0,0,0,0
65,ruokday septemb retweet remind day info help learn sign ask ruok,65,0,0,0,0,0,0,1,0,0,0
66,ruokday septemb retweet remind day info help learn sign ask ruok,66,0,0,0,0,0,0,1,0,0,0
67,ruokday septemb retweet remind day info help learn sign ask ruok,67,0,0,0,0,0,0,1,0,0,0
68,ruokday thursday septemb retweet tweet remind day info ask ruok,68,0,0,0,0,0,0,0,0,0,0
69,ruokday thursday septemb retweet tweet remind day info ask ruok,69,0,0,0,0,0,0,0,0,0,0
70,proud scotch strong cultur surround mental health import look ourselvesxexxa,70,0,2,0,0,1,2,2,0,0,1
71,proud scotch strong cultur surround mental health import look emphasis boy effort remov stigma around vulner open ruokday ,71,1,2,2,1,1,4,3,1,0,1
72,ruokday thursday septemb retweet tweet remind day info ask ruok,72,0,0,0,0,0,0,0,0,0,0
73,ruokday septemb retweet remind day info help learn sign ask ruok,73,0,0,0,0,0,0,1,0,0,0
74,ruokday septemb tweet remind day info help learn sign ask,74,0,0,0,0,0,0,1,0,0,0
75,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want waitxexxa,75,0,0,1,0,0,0,1,0,0,2
76,ruokday septemb retweet remind day info help learn sign ask ruok,76,0,0,0,0,0,0,1,0,0,0
77,ruokday septemb retweet remind day info help learn sign ask ruok,77,0,0,0,0,0,0,1,0,0,0
78,ruokday thursday septemb retweet tweet remind day info ask ruok,78,0,0,0,0,0,0,0,0,0,0
79,ruokday septemb tweet remind day info help learn sign ask,79,0,0,0,0,0,0,1,0,0,0
80,convers could chang life ruokday ,80,0,0,0,0,0,0,0,0,0,0
81,ruokday septemb retweet remind day info help learn sign ask ruok,81,0,0,0,0,0,0,1,0,0,0
82,ruokday septemb retweet remind day info help learn sign ask ruok,82,0,0,0,0,0,0,1,0,0,0
83,ruokday septemb retweet remind day info help learn sign ask ruok,83,0,0,0,0,0,0,1,0,0,0
84,ruokday septemb tweet remind day info help learn sign ask,84,0,0,0,0,0,0,1,0,0,0
